Temperature,Pressure,Humidity,Machine_Speed,Production_Time,Shift,Operator_Experience_Years,Material_Type,Defect
72.94,36.49,60.1,1077,5,Evening,10,Steel,1
67.53,33.23,47.63,1180,2,Evening,1,Plastic,1
73.23,33.51,50.85,1109,9,Evening,9,Aluminum,0
59.51,33.62,43.63,1351,3,Day,3,Aluminum,0
70.09,29.23,47.89,1341,10,Night,12,Steel,0
72.15,31.59,54.33,1566,1,Night,2,Aluminum,1
72.44,24.57,35.04,1039,5,Night,13,Steel,0
72.59,36.34,47.65,982,4,Night,6,Aluminum,0
74.38,16.09,51.96,983,2,Evening,4,Plastic,0
79.79,29.56,60.45,1353,8,Day,14,Steel,1
83.75,35.7,64.48,1265,9,Evening,5,Steel,1
68.5,23.18,45.7,1438,6,Evening,13,Aluminum,1
62.97,32,56.39,1236,8,Evening,10,Steel,0
64.58,26.6,18.3,1393,2,Day,14,Steel,0
70.13,28.16,60.52,1032,11,Evening,6,Plastic,1
71.48,34.73,37.74,1503,6,Day,1,Steel,1
67.3,30.99,42.59,800,1,Night,9,Plastic,0
62.04,19.83,49.41,1304,10,Evening,3,Steel,0
70.44,25.12,43.47,1161,3,Day,13,Plastic,0
76.81,34.88,46.96,1518,7,Evening,14,Plastic,1
80.95,32.24,60.88,1508,1,Night,5,Plastic,1
69.43,38.74,41.16,1082,6,Day,2,Plastic,0
70.87,38.41,34.13,1328,7,Night,5,Plastic,0
65.73,28.29,63.13,968,3,Night,9,Aluminum,1
74.69,42.52,50.27,985,11,Day,14,Steel,0
66.52,30.12,64.22,921,8,Evening,0,Aluminum,1
80.73,25.19,53.64,1240,8,Day,7,Steel,0
57.14,26.83,31.76,1535,5,Night,9,Steel,1
71.4,18.72,51.45,1438,11,Day,4,Plastic,1
78.01,38.04,35.16,1477,2,Evening,13,Steel,1
76.84,37.97,45.07,1273,2,Day,13,Aluminum,0
101.93,24.92,44.24,921,5,Night,13,Steel,1
78.5,28.86,28.82,1531,4,Evening,10,Steel,1
64.96,30.48,36.87,1590,4,Evening,13,Aluminum,1
74.05,25.2,67.05,1459,5,Day,0,Aluminum,1
57.24,21.22,47.38,1091,1,Day,13,Aluminum,0
74.19,28.95,43.24,1046,7,Day,9,Plastic,0
66.67,28.39,63.13,987,3,Night,9,Plastic,1
84.15,28.06,41.04,1322,10,Evening,14,Steel,0
69.5,31.11,44.09,1083,10,Evening,10,Steel,0
73.83,37.15,54.91,1356,8,Evening,0,Plastic,1
68.64,28.48,40.99,923,9,Evening,10,Aluminum,0
92.39,30.85,37.53,1046,8,Evening,9,Aluminum,1
71.79,33.63,22.46,1205,11,Night,14,Aluminum,0
93.33,32.77,35.64,1136,2,Evening,11,Plastic,1
83.14,26.93,35.54,958,7,Day,2,Aluminum,0
79.82,30.48,46.59,1066,4,Night,5,Steel,0
78.69,32.74,38.9,1091,5,Night,1,Plastic,1
78.94,24.36,66.58,1389,11,Evening,7,Aluminum,1
55.72,36.32,34.42,950,10,Day,10,Steel,0
72.21,37.16,59.01,1084,5,Day,9,Steel,0
83.45,26.39,47.2,950,11,Evening,6,Aluminum,0
74.51,30.97,53.07,923,9,Night,10,Plastic,0
60.95,33.21,52.46,1539,2,Evening,1,Plastic,1
74.48,27.27,22.82,1071,2,Night,0,Aluminum,1
92.04,32.41,44.88,1139,3,Evening,6,Plastic,1
87.47,30.82,42.38,1528,5,Day,12,Steel,1
74.38,22.66,33.67,1458,4,Evening,12,Aluminum,1
84.51,32.3,49.6,1529,10,Day,6,Plastic,1
71.33,24.5,62.17,1407,10,Evening,2,Plastic,1
57.96,34.7,18.27,1246,9,Day,13,Plastic,0
65.76,26.64,39.66,1361,3,Day,9,Aluminum,0
90.63,29.19,32.54,1256,1,Day,12,Aluminum,1
72.26,36.86,45.72,1354,5,Day,7,Steel,0
72.57,32.48,41.74,1330,8,Day,7,Aluminum,0
72,24.6,38.94,912,1,Evening,4,Aluminum,0
94.04,24.93,51.9,1524,1,Evening,6,Plastic,1
91.26,27,61.36,1329,6,Evening,2,Plastic,1
97.19,31.97,71.61,1445,7,Night,5,Aluminum,1
73.41,31.79,37.6,1325,8,Day,2,Plastic,0
77.96,25.78,26.79,863,8,Night,10,Plastic,0
59.83,24.16,50.59,1192,3,Day,11,Aluminum,0
89.77,31.41,61.1,1474,4,Day,8,Aluminum,1
63.32,29.09,53.14,1569,9,Evening,6,Plastic,1
77.17,40.79,61.06,1298,11,Night,0,Steel,1
64.03,30.18,42.75,1317,5,Day,7,Steel,0
69.11,39.07,38.9,1154,11,Evening,8,Aluminum,0
66.63,24.15,46.15,1432,9,Night,9,Steel,1
68.92,22.13,41.69,952,5,Night,1,Plastic,1
69.61,24.4,51.63,1128,5,Day,0,Plastic,1
69.52,35.95,54.7,1489,9,Day,14,Aluminum,1
83.33,38.78,55.48,1278,6,Evening,14,Steel,0
63.95,26.09,50.11,1190,3,Night,10,Plastic,0
77.21,27.7,47.46,1374,5,Night,3,Plastic,0
87.18,24.16,52.94,1211,1,Day,8,Steel,1
69.87,20.94,25.37,1057,9,Evening,5,Plastic,0
67.82,33.59,47.11,1376,10,Night,10,Plastic,0
72.69,31.12,45.52,1306,10,Day,12,Steel,0
86.8,30.05,47.13,1498,11,Night,11,Steel,1
76.94,23,44.12,1538,7,Night,9,Aluminum,1
69.69,38.2,49.32,1510,1,Night,7,Steel,1
79.84,27.48,39.25,1093,11,Evening,6,Aluminum,0
63.98,32.67,56.3,1562,11,Evening,4,Steel,1
81.81,22.73,49.74,1276,4,Evening,4,Aluminum,0
79.09,29.05,46.51,1504,2,Evening,13,Plastic,1
71.92,31.46,38.02,1307,3,Night,5,Aluminum,0
66.61,31.64,53.15,918,4,Evening,14,Aluminum,0
66.13,30.77,47.07,1490,2,Day,5,Plastic,1
80.35,32.47,37.45,1277,10,Day,4,Steel,0
87.29,24.35,44.43,1363,1,Day,7,Steel,1
68.63,30.99,51.29,1421,11,Day,2,Aluminum,1
79.58,30.57,50.52,1535,4,Day,8,Steel,1
54.13,31.16,49.87,1409,9,Day,4,Aluminum,1
69.15,30.36,45.93,1118,11,Night,8,Plastic,0
74.69,23.63,55.26,1194,11,Evening,4,Steel,0
65.9,23.41,57.38,847,9,Day,2,Steel,0
65.63,18.93,52.37,1412,9,Day,8,Steel,1
68.32,34.09,39.13,1237,3,Evening,1,Plastic,1
77.92,34.14,34.42,1274,1,Evening,11,Aluminum,0
73.13,34.22,39.56,1551,1,Night,12,Aluminum,1
52.62,31.53,64.54,1385,3,Day,4,Plastic,1
53.79,19.33,47.82,1349,10,Day,2,Aluminum,0
68.93,24.87,66.26,1527,8,Day,6,Aluminum,1
79.58,30.85,43.8,935,4,Night,3,Plastic,0
47.52,30.68,42.41,1317,11,Evening,14,Steel,0
70,28.89,44.26,1558,8,Night,13,Aluminum,1
69.74,31.84,44.08,1123,7,Night,7,Plastic,0
88.88,30.06,37.26,996,8,Day,0,Aluminum,1
71.15,30.6,33.51,910,2,Evening,4,Steel,0
78.83,26.8,50.01,1599,8,Day,7,Steel,1
76.41,34.91,55.55,1349,9,Night,1,Steel,1
53.69,27.85,69.45,914,10,Night,5,Steel,1
82.68,23.35,40.66,1496,11,Evening,6,Steel,1
77.15,26.15,41.47,1523,6,Evening,5,Steel,1
80.08,28.26,37.29,1287,3,Evening,9,Steel,0
114.26,34.97,56.26,1164,7,Day,2,Steel,1
54.16,29.79,53.15,1283,9,Night,5,Aluminum,0
92.25,29.07,36.23,1566,8,Evening,6,Plastic,1
72.13,23.76,35.98,1109,8,Evening,12,Plastic,0
77.87,33.93,54.53,912,11,Evening,2,Aluminum,0
74.54,26.74,48.83,1069,7,Day,11,Plastic,0
70.76,29.5,52.58,1119,5,Day,9,Plastic,0
69.3,37.4,36.17,974,2,Day,1,Steel,1
78.3,32.54,26.22,818,5,Day,2,Aluminum,0
59.83,21.86,36.25,1002,5,Evening,11,Steel,0
82.51,21.15,51.88,925,2,Night,13,Steel,0
70.84,29.68,66.11,1266,11,Night,0,Steel,1
63.7,23.94,40.71,1053,10,Evening,6,Aluminum,0
70.5,33.24,67.76,1566,1,Night,3,Aluminum,1
87.57,30.21,53.3,1599,5,Day,2,Aluminum,1
69.65,30.83,31.07,1091,6,Day,13,Steel,0
78.58,26.47,47.14,951,7,Day,5,Aluminum,0
67.69,38.71,53.64,998,11,Evening,13,Steel,0
82.58,44.21,20.75,998,2,Day,2,Plastic,0
81.86,28.61,51.44,1486,6,Day,11,Steel,1
93.49,31.77,56.73,1252,8,Day,10,Plastic,1
73.24,30.49,48.99,1581,6,Night,9,Plastic,1
81.69,28.7,44.38,979,3,Evening,2,Aluminum,0
75.98,25.84,43.27,1017,3,Evening,8,Steel,0
87.96,24.58,42.69,1429,11,Evening,1,Aluminum,1
67.81,24.32,33.24,1119,7,Night,14,Aluminum,0
82.45,32.03,38.12,822,2,Day,4,Plastic,0
73.05,27.4,40.83,1436,3,Evening,9,Plastic,1
74.36,17.11,46.13,883,7,Evening,14,Steel,0
75.92,32.22,39.43,1510,9,Day,9,Plastic,1
77.52,29.81,36.31,1125,1,Day,1,Steel,1
73.84,36.73,52.6,1498,5,Night,5,Steel,1
77.15,31.87,48.71,1128,2,Evening,3,Aluminum,0
90.78,22.61,39.61,1403,5,Evening,6,Plastic,1
84.85,18.85,50.06,1129,6,Evening,12,Aluminum,0
83.69,26.4,40.47,1493,8,Night,0,Plastic,1
70.44,26.87,45.63,1538,7,Evening,7,Plastic,1
66.11,34.72,54.75,1510,5,Evening,1,Aluminum,1
84.55,29.96,38.96,1272,11,Evening,14,Steel,0
83.76,35.67,33.28,1277,5,Night,14,Aluminum,0
89.73,23.38,43.55,1034,2,Evening,3,Plastic,1
68.96,34.83,31.37,1355,6,Evening,10,Aluminum,0
72.7,33.6,42.23,1387,3,Night,12,Aluminum,0
58.61,19.91,42.19,1452,6,Evening,6,Plastic,1
71.08,36.61,20.36,1493,3,Day,13,Plastic,1
84.97,30.47,50.31,918,2,Night,14,Steel,0
70.34,31.96,43.17,839,8,Day,7,Plastic,0
81.4,25.68,56.82,1059,4,Day,8,Plastic,0
73.09,36.38,47.16,1555,5,Evening,4,Plastic,1
78.24,24.07,52.36,1440,9,Evening,8,Plastic,1
63.52,34.16,56.9,805,4,Evening,8,Plastic,0
75.85,34.1,43.68,1110,1,Night,2,Steel,0
45.09,25.13,44.99,865,11,Night,6,Plastic,0
73.13,39.92,29.26,1173,6,Night,7,Aluminum,0
58.7,31.16,57.4,1530,11,Day,0,Aluminum,1
87.06,33.27,43.54,945,11,Night,10,Plastic,1
82.77,22.36,34.94,1033,5,Night,9,Aluminum,0
79.67,40.59,52.4,828,10,Evening,4,Steel,0
90.21,23.88,23.2,1472,3,Day,0,Aluminum,1
65.51,35.12,40.71,1442,11,Night,2,Steel,1
92.47,25.03,54.08,1459,11,Evening,1,Steel,1
84.32,26.91,40.62,1393,5,Evening,12,Aluminum,0
72.63,33.94,37.82,1269,8,Night,1,Aluminum,1
86.36,35.14,40.84,1160,1,Day,3,Plastic,1
63.94,23.64,24.9,1394,4,Day,4,Plastic,0
66.75,35.45,52.15,1384,3,Night,10,Plastic,0
68.91,35.22,43.77,1154,4,Night,0,Aluminum,1
69.71,25.31,42.28,1525,2,Night,10,Steel,1
64.43,37.99,42.31,825,2,Day,5,Steel,0
87.23,22.72,45.14,1089,2,Day,10,Plastic,1
72.41,26.88,51.53,870,3,Evening,10,Steel,0
78.53,32.4,44.48,1488,9,Evening,4,Aluminum,1
69.3,25.73,31.38,888,5,Day,12,Aluminum,0
56.79,31.32,50.76,976,4,Evening,3,Steel,0
77.7,31.21,49.99,826,4,Day,5,Aluminum,0
55.88,29.06,47.06,1088,3,Evening,1,Steel,1
74.31,34.16,55.75,1374,9,Night,7,Plastic,0
61.32,28.86,45.3,1330,11,Day,5,Aluminum,0
94.87,31.16,56.11,1283,10,Evening,14,Aluminum,1
84.11,35.73,59.07,1233,1,Night,2,Plastic,0
76.06,33.95,50.82,1292,6,Evening,3,Steel,0
87.64,33.93,37.52,1077,4,Evening,11,Aluminum,1
66.54,24.25,43.69,1145,8,Night,12,Aluminum,0
80.43,32.62,57.39,1378,7,Night,1,Steel,1
77,25.61,30.02,1037,3,Day,3,Plastic,0
77.64,23.59,41.08,936,5,Evening,8,Aluminum,0
87.72,29.64,41.57,962,11,Night,3,Plastic,1
82.32,25.48,36.35,1092,11,Evening,12,Steel,0
77.89,33.95,53.73,827,4,Night,7,Steel,0
58.45,34.07,48.77,1055,4,Day,2,Plastic,0
65.4,20.49,37.89,1423,10,Night,12,Steel,1
73.77,25.86,51.06,1551,8,Evening,14,Plastic,1
75.93,22.7,43.42,1554,9,Evening,4,Aluminum,1
63.7,27.69,36.1,1464,11,Day,1,Plastic,1
99.12,32.28,37.87,1064,4,Day,13,Plastic,1
90.16,28.79,49.36,1363,2,Night,8,Plastic,1
81.02,27.05,54.39,1280,1,Night,8,Aluminum,0
75.72,36.5,40.13,1200,10,Evening,13,Steel,0
72.88,18.48,50.44,1259,4,Night,9,Aluminum,0
65.48,36.18,60.82,1576,8,Day,6,Plastic,1
75.77,27.28,32.41,1365,5,Night,1,Aluminum,1
77.58,29.61,48.56,932,2,Day,3,Steel,0
62.58,27.36,53.31,990,11,Evening,14,Aluminum,0
78.34,37.71,44.05,923,4,Night,5,Plastic,0
73.45,23.85,57.38,1230,4,Day,8,Aluminum,0
55.92,30.06,66.99,1017,10,Night,12,Aluminum,1
66.4,32.64,48.43,1202,5,Day,5,Plastic,0
70.86,21.94,42.66,1121,2,Day,3,Plastic,0
93.88,25.4,54.77,1100,7,Day,0,Steel,1
80.57,29.26,53.42,870,5,Night,14,Aluminum,0
61.65,25.57,19.81,1013,4,Day,6,Steel,0
79.86,25.92,44.97,1344,8,Night,6,Plastic,0
59.53,28.25,41.05,1173,2,Day,5,Plastic,0
85.83,33.25,48.97,1135,1,Day,2,Steel,1
70.29,28.29,43.06,970,6,Night,4,Steel,0
74.06,35.39,44.15,1143,10,Night,6,Aluminum,0
88.26,25.01,36.37,1255,10,Night,5,Steel,1
62.13,23.74,52.35,1209,8,Evening,6,Aluminum,0
61.03,39.63,61.55,1100,7,Evening,4,Plastic,1
69.16,26.71,36.52,1295,9,Evening,11,Plastic,0
85.38,23.45,31.03,1090,1,Day,0,Aluminum,1
59.81,21.29,45.2,1548,3,Day,9,Aluminum,1
46.68,35.38,44.71,1236,9,Day,10,Plastic,0
70.49,28.29,56.71,901,5,Night,4,Aluminum,0
80.52,28.73,32.71,809,6,Evening,1,Steel,1
87,29.2,39.62,840,11,Day,9,Aluminum,1
70.37,35.06,23.52,1169,7,Night,9,Plastic,0
70.89,29.1,58.75,925,3,Evening,1,Aluminum,1
86.54,41.72,47.51,1584,7,Evening,3,Steel,1
56.3,30.67,40.37,1182,3,Night,13,Aluminum,0
71.11,35.31,31.78,1126,6,Day,5,Aluminum,0
76.9,34.03,32.7,1249,8,Evening,4,Aluminum,0
79.49,29.82,49.14,1322,7,Day,6,Plastic,0
69.9,27.07,33.93,1506,5,Day,9,Aluminum,1
75.34,31.66,46.04,1331,6,Day,14,Steel,0
50.12,32.55,65.43,1072,4,Day,7,Plastic,1
68.42,27.14,41.52,1301,2,Day,9,Aluminum,0
79.54,30.83,35.39,1546,7,Day,0,Plastic,1
65.18,36.18,48.82,1286,4,Day,12,Aluminum,0
75.59,40.35,32.74,1026,6,Night,14,Plastic,0
79.47,34.27,62.2,1026,10,Day,7,Aluminum,1
71.57,39.31,59.04,1140,2,Day,13,Steel,0
76.7,26.85,43.36,1071,2,Evening,2,Plastic,0
65.37,33.51,36.03,1590,6,Evening,9,Aluminum,1
72.93,36.69,40.74,1194,8,Day,11,Aluminum,0
81.1,25.52,42.04,923,1,Evening,13,Aluminum,0
76.57,27.57,48.84,994,10,Night,9,Plastic,0
69.13,38.69,55.4,1382,7,Night,1,Plastic,1
77.24,25.12,34.63,1543,6,Night,13,Aluminum,1
82.15,23.29,55.11,972,5,Evening,1,Aluminum,1
54.5,37.64,51.18,1002,10,Night,4,Aluminum,0
86.59,35.98,39.92,832,8,Night,12,Plastic,1
71.64,32.16,34.13,1010,1,Evening,1,Steel,1
79.25,29.77,46.16,1493,5,Day,3,Steel,1
86.97,27.81,34.4,1552,6,Day,2,Aluminum,1
61.28,31.41,55.24,850,4,Day,14,Plastic,0
67.91,37.9,33.76,1206,10,Evening,7,Aluminum,0
72.11,31.19,50.48,1340,11,Day,8,Aluminum,0
67.16,40.83,44.19,1317,10,Night,10,Plastic,0
92.35,25.51,39.39,932,2,Day,13,Steel,1
66.43,29.9,43.97,895,8,Night,11,Plastic,0
69.44,28.13,55.8,1223,5,Day,13,Aluminum,0
77.04,24.57,33.08,881,10,Day,13,Steel,0
62.98,29.23,40.88,1588,6,Day,13,Plastic,1
71.04,32.09,37.48,1114,9,Evening,5,Steel,0
78.17,32.62,44.61,1528,2,Day,3,Plastic,1
71.67,40.85,38.15,1079,5,Night,10,Plastic,0
74.07,32.32,27.32,1442,1,Night,10,Steel,1
69.71,35.75,34.45,885,3,Day,13,Steel,0
59.86,30.33,61.38,1165,6,Evening,1,Aluminum,1
78.22,38.39,47.47,1165,8,Day,10,Aluminum,0
92.55,41.99,47.12,892,5,Day,7,Steel,1
75.18,32.66,42.17,870,4,Night,14,Aluminum,0
77.25,25.04,44.48,1125,5,Evening,13,Aluminum,0
81.93,27.26,40.7,1306,4,Night,2,Plastic,0
62.31,31.41,50.27,1125,2,Evening,1,Aluminum,1
92.03,32.28,46.01,990,1,Day,3,Plastic,1
77.02,33.49,33.29,1013,8,Night,12,Aluminum,0
91.32,32.3,47.54,846,1,Day,1,Steel,1
67.67,30.03,20.41,1529,2,Day,2,Plastic,1
93.18,26.82,49.14,888,5,Night,8,Aluminum,1
82.75,32.01,30.91,1586,8,Day,6,Steel,1
80.53,39.27,44.04,1026,10,Evening,10,Plastic,0
77.34,35.1,33.05,1196,3,Day,14,Aluminum,0
72.51,32.67,45.03,1016,11,Evening,0,Steel,1
87.01,35.15,50.78,1551,11,Day,9,Plastic,1
76.4,28.14,60.03,1100,9,Evening,4,Aluminum,1
55.33,27.46,29.59,1215,6,Night,4,Aluminum,0
63.83,26.26,54.75,969,11,Day,8,Plastic,0
73.14,29.37,46.31,1164,3,Night,11,Steel,0
78.1,27.89,40.49,1031,10,Night,0,Plastic,1
74.43,36.04,52.6,1419,7,Evening,0,Steel,1
87.19,27.62,42.64,1127,7,Day,13,Steel,1
55.49,25.99,52.18,1032,7,Night,9,Plastic,0
76.44,39.71,35.08,1481,4,Day,6,Steel,1
56.82,27.74,38.67,1446,6,Evening,6,Aluminum,1
82.6,30.77,54.44,1442,3,Night,10,Plastic,1
74.06,32.26,59.85,836,4,Evening,14,Steel,0
79.2,24.32,44.65,1570,3,Night,7,Aluminum,1
66.36,36.18,17.13,1201,3,Evening,3,Steel,0
87.79,33.19,43.01,1435,1,Day,13,Plastic,1
85.42,37.79,45.32,1225,5,Night,6,Aluminum,1
80.84,26.6,42.67,1207,3,Night,5,Steel,0
73.7,30.5,48.36,1574,1,Day,14,Plastic,1
80.8,30.2,40.23,1016,9,Night,0,Steel,1
67.93,31.32,53.39,969,11,Evening,1,Plastic,1
83.56,22.73,33.33,1409,4,Night,7,Aluminum,1
91.49,30.55,57.37,1157,9,Night,5,Plastic,1
85.71,22.87,60.5,985,2,Night,6,Aluminum,1
67.7,31.79,35.87,1524,2,Evening,7,Steel,1
78.61,19.36,35.86,1543,4,Day,11,Steel,1
62.07,20.74,49.11,1478,4,Evening,14,Aluminum,1
80.72,34.09,33.13,960,5,Evening,4,Steel,0
79.51,27.27,40.07,1083,11,Night,4,Aluminum,0
56.3,25.06,56.03,983,1,Night,1,Steel,1
63.38,36.35,52.38,1336,5,Day,3,Steel,0
72.17,31.64,64.8,941,10,Night,10,Plastic,1
71.99,34.36,46.71,1494,2,Evening,1,Plastic,1
62.91,29.17,38.89,1395,5,Night,6,Plastic,0
78.89,43.4,45.51,1030,10,Night,13,Aluminum,0
77.51,26.98,43.49,1267,10,Day,13,Plastic,0
73.06,38.72,43.63,1187,6,Evening,14,Plastic,0
67.44,29.69,44.76,1534,3,Evening,10,Plastic,1
85.49,21.73,35.68,957,4,Day,8,Steel,1
91.55,32.41,47.82,1117,5,Evening,10,Aluminum,1
70.16,31.57,30.91,984,6,Evening,1,Plastic,1
68.88,24.74,37.83,1220,9,Night,3,Plastic,0
79.91,25.39,43.81,982,9,Day,10,Plastic,0
71.42,29.88,22.4,1396,6,Day,14,Steel,0
73.61,31.75,52.69,1376,1,Night,7,Aluminum,0
82.4,17.65,24.47,851,6,Day,8,Plastic,0
55.91,35.27,51.7,802,10,Day,3,Plastic,0
88.18,27.53,32.07,876,3,Night,7,Plastic,1
75.73,23.34,40.95,1446,5,Night,6,Steel,1
70.89,34.71,50.19,1381,5,Evening,12,Steel,0
74.11,29.88,66.98,1473,10,Evening,4,Plastic,1
74.62,36.08,46.16,1407,4,Night,3,Steel,1
57.69,32.19,25.17,815,3,Day,5,Aluminum,0
89.95,29.99,54.54,1029,1,Night,5,Plastic,1
75.41,29.24,42.68,1066,7,Night,1,Aluminum,1
79.43,32.41,45.7,1105,8,Night,2,Aluminum,0
84.52,27.93,50.58,805,5,Evening,10,Aluminum,0
64.79,25.74,22.75,909,8,Night,5,Steel,0
79.73,33.05,45.07,942,4,Day,3,Steel,0
72.32,29.28,40.9,1466,8,Night,2,Aluminum,1
83.47,30.17,57.22,1006,3,Night,12,Steel,0
53.73,35.45,52.27,1228,8,Night,3,Steel,0
74.01,29.43,28.73,965,6,Evening,5,Plastic,0
68.97,30.08,57.63,1059,9,Day,14,Plastic,0
79.32,27,49.5,1484,5,Day,2,Plastic,1
79.7,32.15,29.53,1193,1,Evening,0,Plastic,1
67.92,31.75,45.56,920,8,Evening,13,Aluminum,0
67.88,34.5,55.35,1212,11,Evening,5,Steel,0
73.89,27.1,32.86,939,3,Day,14,Aluminum,0
66.03,27.71,58.78,967,11,Day,1,Plastic,1
83.42,33.96,29.87,883,5,Night,8,Plastic,0
71.31,31.26,37.09,1220,2,Day,5,Steel,0
45.93,25.47,35.57,1505,7,Evening,0,Steel,1
71.25,36.53,58.77,1587,5,Day,10,Steel,1
64.61,21.51,40.09,1067,7,Day,3,Plastic,0
58.69,33.92,33.37,837,7,Day,4,Steel,0
62.63,23.67,49.45,1102,5,Day,11,Steel,0
76.09,39.43,51.61,1137,5,Night,7,Plastic,0
88.29,22.28,51.68,1553,9,Evening,2,Aluminum,1
78.13,35.76,42.29,1129,3,Day,10,Aluminum,0
68.93,29.59,47.55,998,8,Evening,12,Plastic,0
79.56,28.17,38.5,804,1,Evening,8,Aluminum,0
70.41,30.93,61.75,1231,4,Day,8,Plastic,1
68.05,33.16,56.44,1170,2,Night,14,Aluminum,0
63.46,25.48,55.83,902,3,Night,11,Steel,0
57.48,25.92,52.94,1234,11,Night,9,Aluminum,0
71.1,33.25,50.2,1449,6,Day,10,Plastic,1
76.58,21.46,32.56,1180,4,Day,4,Plastic,0
74.03,27.08,51.33,865,1,Day,3,Aluminum,0
70.84,45.2,46.14,1378,5,Day,6,Plastic,0
65.54,25.16,57.63,1069,3,Day,12,Aluminum,0
81.08,35.74,53.07,846,2,Evening,8,Plastic,0
61.83,27.07,50.5,1164,4,Evening,5,Steel,0
82.76,32.55,28.16,979,4,Day,6,Aluminum,0
64.98,33.27,44.11,867,3,Night,0,Aluminum,1
67.48,35.64,39.42,914,5,Evening,3,Steel,0
60.33,29,47.52,825,5,Day,14,Plastic,0
69.99,39.94,40.84,1358,8,Day,1,Aluminum,1
84.75,27.05,42.24,1006,10,Evening,0,Steel,1
80.16,31.17,49.59,872,7,Evening,12,Plastic,0
84.78,31.23,40.68,1058,11,Day,10,Steel,0
80.22,24.39,46.22,1185,9,Night,6,Steel,0
63.96,28.57,29.81,829,7,Day,10,Aluminum,0
71.69,30.81,36.68,1220,2,Evening,9,Plastic,0
67.2,27.84,51.56,802,3,Evening,3,Aluminum,0
88.31,42.2,32.7,1320,6,Day,1,Plastic,1
63.03,25.81,57.46,1319,1,Evening,4,Plastic,0
83.94,35.9,54.74,1320,8,Day,6,Steel,0
83.93,34.28,42.32,1200,7,Night,1,Steel,1
93.3,29.93,74.99,1463,6,Night,6,Aluminum,1
70.9,25.67,57.43,1453,5,Day,2,Plastic,1
82.12,26.16,35.51,1073,10,Evening,13,Steel,0
97.82,27.41,52.46,1271,5,Evening,7,Plastic,1
68.82,21.07,45.66,1171,8,Night,6,Steel,0
59.65,24.98,37.23,1230,8,Evening,0,Steel,1
56.2,22.59,34.3,1338,3,Evening,8,Aluminum,0
82.13,36.73,54.95,1147,9,Day,14,Plastic,0
56.17,33.09,39.02,870,3,Night,5,Steel,0
71.28,33.93,43.98,1281,10,Night,11,Plastic,0
79.37,32.94,35.79,1530,8,Day,14,Plastic,1
76.85,30.83,37.52,1055,7,Day,12,Plastic,0
79.25,37.3,43.73,902,9,Night,3,Steel,0
77.22,26.95,48.88,946,11,Night,14,Plastic,0
87.79,30.53,19.12,1469,9,Day,5,Aluminum,1
65.48,33.74,45.17,939,11,Night,1,Aluminum,1
68.23,23.39,37.54,1454,1,Night,1,Steel,1
67.27,45.48,59.02,1420,1,Evening,7,Aluminum,1
83.3,30.14,74.43,1222,3,Night,9,Aluminum,1
84,30.71,41.41,863,7,Day,4,Steel,0
79.51,36.28,27.78,1070,3,Evening,6,Plastic,0
86.83,34.57,46.17,1497,3,Evening,0,Steel,1
63.22,30.19,42.95,1312,4,Night,5,Steel,0
91.67,30.65,64.71,806,8,Evening,10,Aluminum,1
90.23,22.48,61.67,1192,1,Day,10,Steel,1
82.36,27.22,53.65,800,4,Day,9,Plastic,0
92.82,32.59,39.13,1060,4,Night,6,Steel,1
58.43,32.22,51.78,846,8,Night,9,Steel,0
69.76,36.11,47.65,1577,7,Day,6,Plastic,1
67.65,29.4,47.41,801,4,Day,9,Steel,0
82.21,23.06,29.42,1334,8,Night,12,Plastic,0
64.5,35.28,55.62,1158,11,Day,2,Plastic,0
82.57,37.18,46.08,1276,3,Night,11,Aluminum,0
88.71,34.49,43.99,1221,10,Evening,8,Steel,1
81.95,29.18,39,1395,7,Evening,11,Plastic,0
77.84,35.22,37.06,1003,9,Night,8,Steel,0
65.12,47.14,48.17,1026,6,Night,4,Aluminum,0
66.53,30.58,27.51,1563,4,Night,8,Aluminum,1
87.5,23.44,52.89,950,4,Day,12,Aluminum,1
82.79,27.07,34.46,1046,1,Night,10,Plastic,0
74.61,33.13,24.41,816,6,Night,6,Aluminum,0
70.82,21.98,63.22,1103,3,Evening,6,Steel,1
54.74,30.85,36.42,1313,3,Night,8,Steel,0
64.29,31.9,37.78,996,1,Night,1,Plastic,1
94.11,37.68,56.35,1245,7,Evening,9,Steel,1
62.2,36.55,63.54,1140,9,Day,14,Plastic,1
76.89,34.32,29.67,1580,3,Night,4,Aluminum,1
85.07,19.19,35.44,860,7,Night,7,Plastic,1
62.45,34.61,36.17,1066,9,Night,7,Plastic,0
76.85,33.53,54.35,896,3,Night,2,Steel,0
84.38,31.28,61.39,1082,9,Evening,4,Steel,1
75.12,21.35,34.2,1046,11,Evening,11,Aluminum,0
103.68,26.12,59.15,834,2,Evening,3,Steel,1
58.31,24.17,37.91,1585,3,Night,3,Steel,1
85.59,19.92,48.36,1268,11,Day,1,Steel,1
73.27,29.99,32.29,867,4,Night,5,Steel,0
82.72,26.01,43.78,988,7,Night,11,Steel,0
79.41,43.13,43.89,840,11,Day,0,Aluminum,1
67.67,29.16,41.85,1407,9,Night,7,Aluminum,1
77.29,36.47,48.85,1482,1,Evening,11,Aluminum,1
56.42,22.15,34.93,866,9,Evening,9,Aluminum,0
